RestaurantName,UserName
"MORGAN MEMORIAL CAFETERIA",jgoldst
"N & M MARKET",jgoldst
"Fasika Cafe",jgoldst
"New Market Pizza & Grill",jgoldst
"Nos Casa Cafe",jgoldst
"NUNEZ MARKET",jgoldst
Mcdonalds,jgoldst
"JALLOH'S AFRICAN MARKET",jgoldst
"PEKING HOUSE",jgoldst
"P & R Restaurant & Ice Cream Parlor",jgoldst
"Planet Gracie",jgoldst
Popeyes,jgoldst
"Quick Stop",jgoldst
"Roxbury Mini Market",jgoldst
"Royal Fried Chicken",jgoldst
"Rey Del Pollo",jgoldst
"Maggie's Grill @ Franklin Park Golf Course",jgoldst
Save-A-Lot,jgoldst
"Seven 86 Market",jgoldst
"Silver Slipper",jgoldst
"SOUTHERN BAPTIST CHURCH",jgoldst
"Suya Joint",jgoldst
"Rox. Comm. College Bookstore",jgoldst
"Top Mix Bar & Kitchen",jgoldst
"Rebecca's Cafe",jgoldst
"Tropical Foods International",jgoldst
"UGIS SUBS",jgoldst
"Vasquez Pizza & Spanish Food",jgoldst
"Pina's Grocery",jgoldst
"Residence Inn L",jgoldst
"Walgreen's No.  09538",jgoldst
"WALGREEN'S No.  4072",jgoldst
"Walgreen's No. 3016",jgoldst
"Walnut Market",jgoldst
"Warren Food Mart",jgoldst
"Sandy's Market",jgoldst
"Soleil Restaurant",jgoldst
"YAWKEY CLUB OF ROXBURY",jgoldst
"Yummy Yummy",jgoldst
"Stop and Taste Pizza Grill",jgoldst
"The Gift Shop @ ISBCC",jgoldst
"Residence Inn",jgoldst
"Warren Market",jgoldst
"224 BOSTON",sheela27
"APPLEBEE'S NEIGHBORHOOD GRILL & BAR",sheela27
"AMC South Bay 12 (MacGuffins)",sheela27
"AMC South Bay 12 (Concession)",sheela27
"B C High School (Faculty Food Serv.)",sheela27
"BALE RESTAURANT",sheela27
"Boston Pizza & Grill",sheela27
"Brothers Supermarket II",sheela27
"Burger King",sheela27
"Camilo Liquors I I",sheela27
"CANTON HOUSE",sheela27
"CLUB HOTEL BAR",sheela27
"Columbia Park Cafe @ Santander Bank",sheela27
"COLUMBIA RD. MARKET",sheela27
"Casa Real Mexican Food",sheela27
"Chipotle Mexican Grill",sheela27
"Courtyard By Marriott",sheela27
"CVS No. 471",sheela27
"D & D Convenience Store",sheela27
"Beacon Cafe @Univ. of Mass Boston",sheela27
"Best Liquors",sheela27
DBAR,sheela27
"Delicias Del Caribe",sheela27
"CROWN LIQUORS  LLC",sheela27
"Dolly Market",sheela27
"Dorchester Brewing Company",sheela27
"DUBLIN HOUSE",sheela27
"Dunkin' Donuts",sheela27
"Dunkin' Donuts",sheela27
"Dunkin' Donuts",sheela27
"Family Dollar Stores of Ma No.  8505",sheela27
"Fiskie's Cafe",sheela27
"Dot Tavern",sheela27
"Great Wok",sheela27
"Hancock Street Market",sheela27
"Handy's Cafe",sheela27
"Harp & Bard",sheela27
"Hissho Sushi @ UMass Boston",sheela27
"Holiday Inn Express",sheela27
"Home Run Cafe",sheela27
"Honeycomb Cafe",sheela27
"HONG KONG CHEF",sheela27
"Integrated Sciences Complex Cafe",sheela27
"Jones Hill Variety",sheela27
"Courtyard By Marriott",sheela27
"Dunkin Donuts",sheela27
"Kentucky Fried Chicken",sheela27
"KIM'S FISH MARKET",sheela27
"King Do",sheela27
"Kriola Bar & Restaurant",sheela27
"La Parrilla",sheela27
"La Familia II",sheela27
"Edward Kennedy Museum Cafe",sheela27
"LUCKY CAFE",sheela27
"Marketplace Cafe & Take Away",sheela27
"Fernandez Liquor IV",sheela27
"MARSHALL'S No.  566",sheela27
"MCKENNA'S CAFE",sheela27
"First Choice Mkt.",sheela27
"Navarrete Restaurant",sheela27
"NEW GARDEN RESTAURANT",sheela27
"NEW STORE ON THE BLOCK",sheela27
"NEW YORK FRIED CHICKEN & PIZZA",sheela27
"Nhu Lan Fast Food",sheela27
"NHU LAN Restaurant",sheela27
"ODDS & ENDS VARIETY",sheela27
"One Family Diner Inc.",sheela27
"Pantry Pizza Kitchen",sheela27
"Jerk Restaurant",sheela27
"J.P. Licks @ Southbay",sheela27
"PHU CUONG MARKET(1188 Dor. Ave.)",sheela27
"Restaurant Laura",sheela27
"Restaurante Cesaria",sheela27
"Ray & Joan Krok Community Center",sheela27
"Santander Bank Coffee Bar",sheela27
"Savin Bar And Kitchen",sheela27
"Savin Hill Yacht Club",sheela27
"Savin Hill Specialities",sheela27
"SINGH'S ROTI SHOP",sheela27
"SODEXO @ UMASS JAZZMAN",sheela27
"SODEXO U MASS FOOD COURT",sheela27
"Speedway No. 2430",sheela27
"SODEXO U MASS FACULTY CLUB",sheela27
"Starbucks Coffee No. 50497",sheela27
"SUGAR BOWL",sheela27
"Super Stop & Shop",sheela27
"Super Stop & Shop",sheela27
"Panera Bread",sheela27
"Target Store T-1898",sheela27
"TASTE OF INDIA",sheela27
"THE BANSHEE",sheela27
"The Home Depot No. 2679",sheela27
"The Olive Garden Italian Restaurant No.  1674",sheela27
"THE UNION LOUNGE",sheela27
"Romde Dieta Restaurant",sheela27
"TJ Maxx No. 1183",sheela27
"Tom English Bar",sheela27
"Triangle Point Market",sheela27
"Uphams House of Pizza",sheela27
"VENICE PIZZA",sheela27
"Rite Aid No. 10150",sheela27
"UMass Boston Dining Commons",sheela27
"Villa Sombrero Cafe",sheela27
"St. Mary's Ctr. for Women & Children",sheela27
"Target Store T-1898",sheela27
"Yale Appliance & Lighting",sheela27
"Whittier Health Pharmacy II",sheela27
Wahlburgers,sheela27
